model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
torchvision--resnext101_64x4d,83455272,ImageNet-1k (1.2M),resnext,cnn,ResNet,[],14.84,30.013333333333332,83.234,92.29962434667192,7500,2240,277,6387,1963,14.170752617853266,38.64318776783866,39.88783792265374,13.387679989725479,36.82088356317498,38.777371804554235,0,0,156,45,0,365,1397
torchvision--resnext50_32x4d,25028904,ImageNet-1k (1.2M),resnext,cnn,ResNet,[],5.133333333333334,12.68,81.188,90.08577382455901,7500,2240,108,7115,2132,5.656333684763444,28.559614283684798,29.595138881864084,5.327464951143068,28.34880650430357,29.94520392784496,0,0,140,39,0,379,1574
torchvision--shufflenet_v2_x0_5,1366792,ImageNet-1k (1.2M),shufflenet,cnn,EfficientNet,[],0.52,1.6666666666666667,60.55199999999999,68.03233011226817,7500,2240,13,7461,2227,0.6901106674039821,15.772793176223729,16.488146088445127,0.8531200951559295,16.81923062226451,17.927165462108736,0,0,98,28,0,259,1842
torchvision--shufflenet_v2_x1_0,2278604,ImageNet-1k (1.2M),shufflenet,cnn,EfficientNet,[],0.6133333333333333,2.3466666666666667,69.362,77.74618563024525,7500,2240,14,7454,2226,0.8963171614694599,18.074522919894868,18.618729571562817,0.7726696841177708,18.503561837913246,19.497232207847905,0,0,120,25,0,289,1792
torchvision--shufflenet_v2_x1_5,3503624,ImageNet-1k (1.2M),shufflenet,cnn,EfficientNet,[],1.0533333333333332,3.2533333333333334,73.00999999999999,81.90349863328973,7500,2240,30,7421,2210,1.3765556359370477,20.487825083039013,21.336760039516744,1.325289181226403,20.38196187216107,21.755819198854986,0,0,116,32,0,324,1738
torchvision--shufflenet_v2_x2_0,7393996,ImageNet-1k (1.2M),shufflenet,cnn,EfficientNet,[],1.5333333333333334,4.533333333333333,76.222,85.44403780644902,7500,2240,40,7385,2200,1.9611815352783242,22.899372356803816,23.689982583494604,2.111740114718228,24.659885929560367,25.95651263387521,0,0,121,26,0,367,1686
torchvision--squeezenet1_0,1248424,ImageNet-1k (1.2M),squeezenet,cnn,EfficientNet,[],0.37333333333333335,1.32,58.092,65.61480671547238,7500,2240,11,7472,2229,0.5387010493021182,15.392466074448825,16.10497168320382,0.6151607280369823,16.07592021436383,17.1483880728533,0,0,95,29,0,271,1834
torchvision--squeezenet1_1,1235496,ImageNet-1k (1.2M),squeezenet,cnn,EfficientNet,[],0.26666666666666666,1.12,58.178,66.13313569213726,7500,2240,8,7480,2232,0.3931445491863915,15.436775180512951,15.987235639286796,0.3591211376301461,16.357866647577328,17.27298467671992,0,0,114,20,0,268,1830
torchvision--swin_b,87768224,ImageNet-1k (1.2M),swin,transformer,Swin,[],16.92,34.053333333333335,83.58,92.3042580531787,7500,2240,307,6231,1933,16.30422120839009,40.646489934122954,42.21656360293716,14.722813225878312,38.25189641942159,40.845795088959605,0,0,154,61,0,365,1353
torchvision--swin_s,49606258,ImageNet-1k (1.2M),swin,transformer,Swin,[],15.946666666666667,31.44,83.178,91.91578987575924,7500,2240,269,6304,1971,15.330661664693526,40.26091400395013,41.778447096457,13.046978399802875,36.94728527468442,39.416009232061846,0,0,156,58,0,361,1396
torchvision--swin_t,28288354,ImageNet-1k (1.2M),swin,transformer,Swin,[],9.533333333333333,21.14666666666667,81.476,90.35881959371925,7500,2240,189,6785,2051,9.638845007210298,33.01982102610121,34.40984147259234,9.20310040399117,31.550138578323317,33.77398956229735,0,0,144,51,0,373,1483
torchvision--swin_v2_b,87930848,ImageNet-1k (1.2M),swin,transformer,Swin,[],20.04,37.50666666666667,84.134,92.89342688400386,7500,2240,342,5997,1898,18.861065876149013,44.03757484679589,45.587347137631305,16.322400338644208,40.41927870605615,42.708202378247414,0,0,141,56,0,388,1313
torchvision--swin_v2_s,49737442,ImageNet-1k (1.2M),swin,transformer,Swin,[],17.72,35.22666666666667,83.708,92.67782699155016,7500,2240,348,6171,1892,17.542650145030894,41.84787198607037,43.26291007792879,16.69149254821753,39.633920299865245,41.92057239509713,0,0,148,56,0,370,1318
torchvision--swin_v2_t,28351570,ImageNet-1k (1.2M),swin,transformer,Swin,[],11.72,25.08,82.06,90.84686822250717,7500,2240,237,6621,2003,11.863738822796403,35.73034876422119,37.22142289387108,10.797380643350543,34.213169741433006,36.592206828320364,0,0,143,53,0,388,1419
