model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified,num_all_imagenet-m_samples,num_group_imagenet-m_samples,num_imagenet-m_errors
timm--efficientnet_b1_pruned.in1k,6331916,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,['Distillation'],78.242,78.242,87.17653117393458,18692,10184,7770,3432,2414,87.17653117393458,93.31499828731664,94.13390545556986,82.78815969057956,90.43113556133156,92.00548696596206,69,743,467,124,6,164,841,68,47,36
timm--efficientnet_b2.ra_in1k,9109994,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],79.542,79.542,88.43061180778318,18692,10184,7911,3230,2273,88.43061180778318,94.31499252725304,95.07554863308387,83.55139918914725,90.83809231084891,92.38308759738723,78,754,439,118,9,161,714,68,47,37
timm--efficientnet_b2_pruned.in1k,8309737,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,['Distillation'],79.918,79.918,88.89439281951319,18692,10184,7969,3149,2215,88.89439281951319,94.66159513173483,95.42061010884578,84.58400862212216,92.17759006319271,93.47551110209335,74,770,443,114,8,158,648,68,47,36
timm--efficientnet_b3.ra2_in1k,12233232,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],81.482,81.482,90.56290435312926,18692,10184,8151,2867,2033,90.56290435312926,95.61148272522152,96.27821032596611,86.56473531186133,93.40715667947177,94.44772580183951,75,779,373,95,10,145,556,68,47,35
timm--efficientnet_b3_pruned.in1k,9855020,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,['Distillation'],80.856,80.856,89.80249222311951,18692,10184,8081,2943,2103,89.80249222311951,94.99996740574561,95.74674523103354,85.81475654826362,92.43999568315508,93.82750599427902,69,744,395,111,9,155,620,68,47,35
timm--efficientnet_b4.ra2_in1k,19341616,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],82.758,82.758,91.81493300344336,18692,10184,8354,2586,1830,91.81493300344336,96.33662715681326,96.91502897987839,87.94338204820133,94.59589944457814,95.53925745597925,75,737,336,85,8,146,443,68,47,33
timm--efficientnet_el.ra_in1k,10589712,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],81.316,81.316,90.48249254443552,18692,10184,8139,2850,2045,90.48249254443552,95.49909169176235,96.17509120222773,86.79172499996916,92.9153824312892,94.18339618100599,79,767,382,103,6,138,570,68,47,35
timm--efficientnet_el_pruned.in1k,10589712,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,['Distillation'],80.304,80.304,89.4259440933168,18692,10184,7991,3075,2193,89.4259440933168,95.02386510720146,95.73270628752097,85.12037300694307,91.87359574360477,93.01949084172286,76,779,418,110,7,157,646,68,47,36
timm--efficientnet_em.ra2_in1k,6899496,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],79.244,79.244,88.37245182449168,18692,10184,7881,3216,2303,88.37245182449168,94.39641139304493,95.12979164798087,83.40696312921884,91.29972469342017,92.82064838301189,78,753,469,111,7,169,716,68,47,33
timm--efficientnet_es.ra_in1k,5438392,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],78.054,78.054,87.06363342239132,18692,10184,7705,3484,2479,87.06363342239132,93.31292598569335,94.15686505187311,82.17603052401469,89.67569431645882,91.38063199725475,72,769,481,131,8,160,858,68,47,34
